Area	Perimeter	Major_Axis_Length	Minor_Axis_Length	Convex_Area	Equiv_Diameter	Eccentricity	Solidity	Extent	Roundness	Aspect_Ration	Compactness	Class
0.09405990861397862	0.028593344091234707	0.015550917166642253	0.44301128176290727	0.09403674820591434	0.12134608651648038	0.7376	0.9902	0.7453	0.8963	1.4809	0.8207	0
0.3237095955322389	0.2889596433972777	0.2824919583178304	0.5340652746374466	0.32120242618143047	0.38426074394875975	0.8275	0.9916	0.7151	0.844	1.7811	0.7487	0
0.26720821345969425	0.3104383000586138	0.33714285211660955	0.3831783669234907	0.26991268412984065	0.3231866874185394	0.8749	0.9857	0.74	0.7674	2.0651	0.6929	0
0.20893552208495514	0.17883105511856617	0.17802734772993095	0.45793778173492083	0.20831389277700013	0.25791655511063905	0.8123	0.9902	0.7396	0.8486	1.7146	0.7624	0
0.2049754611609409	0.18765205184054184	0.18484273017565206	0.4444151563787455	0.20830278388766693	0.2533903715624808	0.8187	0.985	0.6752	0.8338	1.7413	0.7557	0
0.28489874203192866	0.25033829499323407	0.24912605071090205	0.5158233656283071	0.2844208935990579	0.3425318265669084	0.8215	0.9895	0.7165	0.848	1.7535	0.7522	0
0.2865572290855757	0.2193598807464921	0.20936374028892296	0.5621850719379979	0.283198915772401	0.3443347681154729	0.7938	0.9929	0.7187	0.8857	1.6443	0.779	0
0.24542223726518864	0.2614068729964614	0.2950827506760409	0.3878969997305499	0.24523984092070478	0.2990694020694993	0.8646	0.9894	0.6736	0.7957	1.9903	0.7067	0
0.5391549613583799	0.5255316839492593	0.49044746965916053	0.6452278025750069	0.5383923215356929	0.6005466490530731	0.8573	0.9886	0.6188	0.793	1.9423	0.7152	0
0.28799007164212775	0.25946610899249617	0.2721045472923624	0.4887371116239778	0.28575396031904726	0.3458911585841262	0.8356	0.9916	0.7443	0.8409	1.8201	0.7394	0
0.4004061600947706	0.3561338128559334	0.34520549792753163	0.5903875266684111	0.39725388255682204	0.46405444130289597	0.8327	0.9917	0.7019	0.844	1.8057	0.7431	0
0.4233316409996051	0.38734234006063983	0.3678133925123739	0.6051779998464006	0.4218933990979582	0.48726907902285754	0.8356	0.9898	0.7457	0.832	1.8205	0.7391	0
0.2646133017431037	0.3300427662761499	0.40568164526176265	0.3056287757198033	0.2648025950365483	0.3203310492543152	0.9011	0.9888	0.6	0.7461	2.3061	0.6566	0
0.36342302702092844	0.3181984615718595	0.2933138884564223	0.5993841696052362	0.3609055966584461	0.4260008414511798	0.8144	0.9913	0.7285	0.8503	1.7231	0.759	0
0.22721272634963607	0.21467947001657112	0.24106135251550492	0.41283741478800007	0.22598813570619208	0.27865332505612117	0.8449	0.9908	0.7377	0.8274	1.8695	0.7304	0
0.11276583742313984	0.0938860868495508	0.14054758204187062	0.3191527027677874	0.11425492679241922	0.14438007702514666	0.838	0.9878	0.7124	0.8357	1.8328	0.7365	0
0.14891408585773114	0.12268494062651492	0.1478499660037173	0.38529296526695767	0.14871470150414362	0.18797783982417804	0.8221	0.99	0.7391	0.8455	1.7565	0.7515	0
0.15321261352738758	0.13923860108688563	0.1798363780457019	0.34801902032071097	0.15398031504810145	0.19308538964191269	0.8429	0.9886	0.6728	0.8307	1.8585	0.7323	0
0.31741411406329323	0.2832965490292561	0.3222624782777095	0.47613803660617715	0.3133817680908263	0.37755620217188546	0.8523	0.9934	0.7692	0.844	1.9117	0.7225	0
0.10089693687595191	0.08367717612324777	0.1383025666240651	0.2947264559748306	0.10195738630051765	0.1298035535130586	0.8439	0.9885	0.7403	0.8331	1.8638	0.7313	0
0.24156371636486706	0.24446679643686725	0.2856508712225498	0.3890288207583399	0.2430958252793886	0.2947627019409278	0.8621	0.9872	0.7469	0.8098	1.9735	0.7104	0
0.3864951768488746	0.39449465602454536	0.4262738050944288	0.47955953352572345	0.38464529316358953	0.44983038580242374	0.8748	0.9904	0.6702	0.7933	2.0643	0.6939	0
0.16050093078355043	0.09874740399296633	0.10550282393443855	0.45703505846548764	0.15864604856806414	0.20170938159222573	0.782	0.9923	0.7237	0.8903	1.6045	0.7884	0
